Nom,Grup parlamentari,Circumscripció,"Legislatures anteriors",Inici mandat,Fi mandat,Càrrec
Miquel Iceta i Llorens,Socialista (PSC),Barcelona,"VI, VII, VIII, IX",17 de desembre de 2012,,Secretari primer [8]
Maria Mercè Jou i Torras,CIU (UDC),Barcelona,IX,17 de desembre de 2012,,
Oriol Junqueras i Vies,ERC,Barcelona,,17 de desembre de 2012,,Cap de l'oposició
Assumpció Laïlla i Jou,CIU (UDC),Barcelona,"VIII, IX",22 de juliol de 2014,,
Marta Llorens i Garcia,CIU (UDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Dolors López Aguilar,PPC,Lleida,IX,17 de desembre de 2012,,
Rafael López Rueda,PPC,Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Maurici Lucena Betriu,Socialista (PSC),Barcelona,,17 de desembre de 2012,,
Rafael Luna i Vivas,PPC,Tarragona,"V, VI, VII, VIII, IX",17 de desembre de 2012,,
Benet Maimí i Pou,CIU (UDC),Barcelona,"VIII, IX",24 d'abril de 2013,,
Annabel Marcos i Vilar,CIU (CDC),Tarragona,IX,17 de desembre de 2012,,
Rocío Martínez-Sampere i Rodrigo,Socialista (PSC),Barcelona,"VIII, IX",17 de desembre de 2012,,
Artur Mas i Gavarró,CIU (CDC),Barcelona,"V, VI, VII, VIII, IX",17 de desembre de 2012,,President de la Generalitat
Laura Massana i Mas,ICV-EUiA (ICV),Barcelona,"VIII, IX",17 de desembre de 2012,,
Carina Mejías Sánchez,C's (Independent),Barcelona,"VI, VIII",17 de desembre de 2012,,
Joan Mena Arca,ICV-EUiA (EUiA),Barcelona,,17 de desembre de 2012,,
Salvador Milà i Solsona,ICV-EUiA (ICV),Barcelona,"VIII, IX",17 de desembre de 2012,,
Juan Bautista Milián Querol,PPC,Barcelona,IX,17 de desembre de 2012,,
Josep Enric Millo i Rocher,PPC,Girona,"V, VI, VIII, IX",17 de desembre de 2012,,
Àlex Moga i Vidal,CIU (CDA-PNA),Lleida,,17 de desembre de 2012,,
Begonya Montalban i Vilas,CIU (CDC),Girona,IX,17 de desembre de 2012,,
Roger Montañola i Busquets,CIU (UDC),Barcelona,IX,24 d'abril de 2013,,
Dolors Montserrat i Culleré,PPC,Barcelona,"III, IV, V, VI, VIII, IX",17 de desembre de 2012,,
Joan Morell i Comas,CIU (CDC),Barcelona,"VIII, IX",24 d'abril de 2013,,
Neus Munté i Fernández,CIU (CDC),Barcelona,"VI, IX",17 de desembre de 2012,29 de gener de 2013,Consellera de Benestar Social i Família
Òscar Ordeig i Molist,Socialista (PSC),Lleida,,21 de gener de 2014,,
Joana Ortega i Alemany,CIU (UDC),Barcelona,"VIII, IX",17 de desembre de 2012,,"Vicepresidenta Consellera de Governació i Relacions Institucionals"
Núria Parlon i Gil,Socialista (PSC),Barcelona,,17 de desembre de 2012,,
Marta Pascal i Capdevila,CIU (CDC),Barcelona,,8 de maig de 2013,,
Ferran Pedret i Santos,Socialista (PSC),Barcelona,,17 de desembre de 2012,,
Josep Maria Pelegrí i Aixut,CIU (UDC),Lleida,"VII, VIII, IX",17 de desembre de 2012,,"Conseller d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural"
Carles Pellicer i Punyed,CIU (CDC),Tarragona,"VI, VII, VIII, IX",17 de desembre de 2012,,
David Pérez i Ibáñez,Socialista (PSC),Barcelona,"VI, VII, VIII",3 de febrer de 2015,,
María del Carmen Pérez Martínez,C's,Barcelona,,27 de maig de 2014,,
Eva Piquer i Vinent,ERC (CAT-SÍ),Barcelona,,17 de desembre de 2012,20 de febrer de 2013,
Àngels Ponsa i Roca,CIU (CDC),Barcelona,IX,2 d'abril de 2013,,
Felip Puig i Godes,CIU (CDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,16 d'abril de 2013,Conseller d'Empresa i Ocupació
Carles Puigdemont i Casamajó,CIU (CDC),Girona,"VIII, IX",17 de desembre de 2012,,
Oriol Pujol i Ferrusola,CIU (CDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,15 de juliol de 2014,
Joan Recasens i Guino,CIU (UDC),Barcelona,"VIII, IX",22 de gener de 2013,,
Lluís Miquel Recoder i Miralles,CIU (CDC),Barcelona,"VI, VII, IX",17 de desembre de 2012,19 de març de 2013,
Pere Regull i Riba,CIU (CDC),Barcelona,IX,17 de desembre de 2012,,
Maria Glòria Renom i Vallbona,CIU (CDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Manuel Reyes López,PPC,Barcelona,,17 de desembre de 2012,,
Marta Ribas Frías,ICV-EUiA (ICV),Barcelona,,17 de desembre de 2012,,
Elena Ribera i Garijo,CIU (UDC),Girona,"VII, VIII, IX",17 de desembre de 2012,,
Montserrat Ribera i Puig,CIU (CDC),Barcelona,"VIII, IX",17 de desembre de 2012,,
